day,policy,MAE,RMSE,ovr,und
16_06_2026_,Expert,1.2861506176730226,1.8061953340999017,5.425274887749751,5.971571872274822
16_06_2026_,DDPG-A1,0.11207202418924316,0.2211752830089639,3.637280278505358,0.6174498093250236
16_06_2026_,DDPG-A2,0.11167830364485423,0.22069439038324176,3.6363731064678007,0.6159750277736151
16_06_2026_,TD3-A1,0.11189038313927037,0.22096474457270807,3.637688730961216,0.6169374905625062
16_06_2026_,TD3-A2,0.1864968987857633,0.3138375242588716,3.830796754406066,1.3357517543770285
17_06_2026_,Expert,1.4821845716848925,2.0789042425313977,5.116738484362813,7.944698715413139
17_06_2026_,DDPG-A1,0.13477729711645242,0.5848826191475995,1.4104729653399488,1.095356995850338
17_06_2026_,DDPG-A2,0.1361914352670939,0.5883702626420759,1.4088464262921718,1.0870597987923105
17_06_2026_,TD3-A1,0.13484340962338395,0.5852463758193914,1.4100767045123916,1.0891338866722293
17_06_2026_,TD3-A2,0.2213691396853219,0.6788371802830366,4.033377749412324,1.6251932233630555
18_06_2026_,Expert,1.7957950542569427,2.4429061174271234,8.219402356690267,6.434321213146461
18_06_2026_,DDPG-A1,0.16683529721937573,0.3246704624498547,3.250871041156742,1.070057758637617
18_06_2026_,DDPG-A2,0.16619870023759517,0.3238070529647237,3.2503098900080687,1.0627830171431043
18_06_2026_,TD3-A1,0.1664525217431879,0.32418357603210407,3.2518651340079288,1.0647025503674712
18_06_2026_,TD3-A2,0.289732427371805,0.49010590308804786,3.582744981282147,2.2188763539768956
19_06_2026_,Expert,0.33064792944974725,0.595799492158927,4.935499900999389,1.3510900521215348
19_06_2026_,DDPG-A1,0.02289736913288047,0.17158721088934853,3.337291823006197,0.44026434313988716
19_06_2026_,DDPG-A2,0.02282055849897066,0.1714189447501845,3.336446458927796,0.43251660332123265
19_06_2026_,TD3-A1,0.022860921310649596,0.17153468834718197,3.3375752175451225,0.4368254705996293
19_06_2026_,TD3-A2,0.03392102156414359,0.1968049751172569,3.5362311586481354,0.6967999343762159
