seed,policy,mae,rmse,overshoot
52,DDPG-A2,0.11118175746830973,1.001696528461555,14.861790251290614
52,TD3-A1,0.11118147842485682,1.0016944479331302,14.861790253465855
52,TD3-A2,312.3238037499121,340.77821510018333,433.26074682450724
71,Expert,2.1782080427351374,3.075392219636458,14.754853612465084
71,DDPG-A1,0.09101368814847138,0.880606287691699,14.867597229491935
71,DDPG-A2,0.0915455423206305,0.8849929377011937,14.867597878490528
71,TD3-A1,0.09154536128846798,0.8849914041744944,14.867597878699385
71,TD3-A2,166.52172929069573,243.0400903683681,420.26910862935233
78,Expert,2.2609993374842294,3.339069541487481,22.60425311745057
78,DDPG-A1,0.1050981477571937,0.9388850636977962,14.864720347870403
78,DDPG-A2,0.10573139031821008,0.9440339138865166,14.864747379227978
78,TD3-A1,0.10573118366128098,0.9440322120701741,14.864747380116782
78,TD3-A2,319.2197535509057,335.35095525569966,437.2671474057302
89,Expert,2.115514391250484,3.1624757310851592,16.305411995876952
89,DDPG-A1,0.0795896056569689,0.8251315305711021,14.812080541033566
89,DDPG-A2,0.08009007166171146,0.829631078285176,14.81208081339409
89,TD3-A1,0.08008989369956578,0.8296294465585459,14.812080813218202
89,TD3-A2,0.08124750514845973,0.805499516338474,14.71266647951279
49,Expert,1.991903468812211,2.8443393233450567,15.346660069750683
49,DDPG-A1,0.11235935971448902,1.0147343723997357,14.797869456639262
49,DDPG-A2,0.11295510146696469,1.019087258279394,14.797868593884843
49,TD3-A1,0.11295489314319967,1.0190857072671617,14.797868593890385
49,TD3-A2,172.54897239000107,245.94977515530277,396.8575835136096
84,Expert,1.8443175328409005,2.707037052007722,15.98307883931183
84,DDPG-A1,0.08628245412041016,0.854218689504933,14.83971335386974
84,DDPG-A2,0.08682736684574319,0.8590311155590112,14.83971458521367
84,TD3-A1,0.08682716971247009,0.8590293464978312,14.839714585187679
84,TD3-A2,0.08936129187592587,0.8343837996685446,14.709580550046752
13,Expert,2.095505421007676,3.2606477917901646,18.764257560844186
13,DDPG-A1,0.16464635586285747,1.2462645292822352,14.84656321695769
13,DDPG-A2,0.16564010299822593,1.2520862297100803,14.84656321871438
13,TD3-A1,0.16563975424482158,1.2520841605021127,14.846563218653415
13,TD3-A2,193.29154461128687,254.47650327814137,445.3471231551483
30,Expert,1.6748306723355575,2.5502468250880277,14.734458801555746
30,DDPG-A1,0.06566995576815715,0.7376635610051397,14.868832929041602
30,DDPG-A2,0.06614255663303295,0.7424409330257157,14.868840539534716
30,TD3-A1,0.06614239920738257,0.7424392924778104,14.86884054188414
30,TD3-A2,320.3718555359227,348.6974606695801,429.679870116549
81,Expert,2.3309299753611117,3.25752006671408,21.07312774327785
81,DDPG-A1,0.0901623352148048,0.8753792828981705,15.635727344490405
81,DDPG-A2,0.09078249899284034,0.8807248730367484,15.635715752027451
81,TD3-A1,0.090782284575661,0.8807229855872579,15.63571574984833
81,TD3-A2,200.7190560379635,244.20243253914063,400.1685389269523
62,Expert,1.7055325843434372,2.630272972882279,16.132292916630192
62,DDPG-A1,0.08305621539328169,0.8348672183234366,14.877093395100545
62,DDPG-A2,0.08361490162347751,0.8397618781799092,14.87704804454593
62,TD3-A1,0.08361471652630356,0.8397602288580485,14.8770480349054
62,TD3-A2,0.08259347750002628,0.8101499590346676,14.741006346938718
